Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Protocol_described,Evidence,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures,True,False,False,"['SDS-PAGE', 'Western blotting', 'dot-blotting', 'infectivity titration']",['NP-40'],[],True,“detergent lysis of pelleted cells with Nonidet P-40 in phosphate-buffered saline ... sonication ... centrifugation”,,,d7e7496167,f15783d416,,,1001,0.5,True,[],['NP-40'],[]
A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application,True,False,False,['PCR'],['SDS'],[],True,"“viral DNA was isolated in three steps: SDS lysis, chloroform extraction and ethanol precipitation” and “successfully analysed by PCR”",,,69619de75b,2b8b726c95,,,1001,0.5,True,[],['SDS'],[]
Factors influencing lysis time stochasticity in λ bacteriophage,True,True,False,[],[],[],True,“E. coli cells lysogenic for λ phage were induced and observed to lyse in a temperature-controlled perfusion chamber.”,,,0288f54438,9ff64d4b0d,,,1100,0.5,False,[],[],[]
Factors influencing lysis time stochasticity in λ bacteriophage,True,True,False,[],[],[],True,“Some experiments were performed by adding KCN to the growth medium...”,,,0288f54438,f1e16affc9,,,1100,0.5,False,[],[],[]
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],True,IGEPAL-CA-630 was added to SARS-CoV-2 MM; crude sample was added directly to the PCR well containing MM.,,,ba743b1bb9,2007b5b1f9,,,1101,0.75,True,[],['IGEPAL CA-630'],[]
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,True,True,False,['RT-PCR/RT-qPCR'],[],['MagNA Pure 96 DNA and Viral NA Small Volume Kit'],True,rRT-PCR targeting the E-gene after purification of total NA on a MagNA Pure using the MagNA Pure DNA and Viral NA kit.,,,ba743b1bb9,050c2f5651,,,1101,0.75,True,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,True,False,False,"['SDS-PAGE', 'RP-HPLC']",[],[],True,protein E-mediated lysis; inclusion bodies... harvested via centrifugation; lysed samples were used for SDS gel/HPLC,,,83e42d0cb9,e944d8faff,,,1001,0.5,True,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,"['SDS-PAGE', 'RP-HPLC']",[],[],True,fermentation broth was centrifuged and washed once... samples... were homogenized; homogenized samples were used for SDS gel/HPLC,,,83e42d0cb9,9e3b7c15cd,,,0001,0.25,True,[],[],[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],False,,,,83e42d0cb9,c5aad11c3a,,,0000,0.0,False,[],[],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,[],['Tween 20'],[],True,"Table lists Rodriguez-Mateos et al. with Tween-20 in lysis buffer, a Tween wash buffer, and on-chip gentle mixing.",,,5ad5a05d8d,ba314b5b5c,,,0100,0.25,False,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,True,True,False,[],[],[],True,Table lists Mosley et al. with no wash buffer and on-chip gentle mixing.,,,5ad5a05d8d,f2fac19fe8,,,1100,0.5,False,[],[],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,[],['Triton X-100'],[],True,Table lists Kistrup et al. with Triton X-100 in lysis buffer and off-chip lysis; text mentions subsequent washing steps.,,,5ad5a05d8d,7d8a6be0f6,,,0100,0.25,False,[],['Triton X-100'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,[],['Triton X-100'],[],True,"Table lists Juang et al. with Triton X-100 in lysis buffer, ethanol wash buffer, and off-chip lysis.",,,5ad5a05d8d,b5ce9996b4,,,0100,0.25,False,[],['Triton X-100'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,"['RT-LAMP', 'RT-qPCR']",['Tween 20'],[],True,"Present work lists Tween-20 lysis buffer, ethanol/Tween wash buffer, heating, and RNA extraction with RT-LAMP or RT-qPCR readout.",,,5ad5a05d8d,a3ac189ccc,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,True,['RT-qPCR'],['Tween 20'],[],True,Gentle-buffer condition used low surfactant lysis without heat treatment; extraction output was quantified by RT-qPCR.,,,5ad5a05d8d,3ad3379cb2,,,0111,0.75,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,True,['RT-qPCR'],['Tween 20'],[],True,Intensive-buffer condition used high surfactant lysis without heat treatment; RNA concentration was quantified by RT-qPCR.,,,5ad5a05d8d,b36367ed2d,,,0111,0.75,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['RT-qPCR'],['Tween 20'],[],True,Intensive buffers were combined with heat treatment for on-chip RNA extraction; recovery was assessed by RT-qPCR.,,,5ad5a05d8d,cb86d98f83,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['RT-LAMP'],['Tween 20'],[],True,"Integrated device combined thermal lysis, washing, elution/detection, and colorimetric RT-LAMP detection.",,,5ad5a05d8d,356151a96e,,,0101,0.5,True,[],['Tween 20'],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,"['RT-LAMP', 'LAMP']",['unspecified_detergent'],[],True,procedure...included...thermal lysis and binding...washing...colorimetric RT-LAMP detection; protocol includes...surfactants...heat treatment,,,5ad5a05d8d,f90eef872a,,,0101,0.5,True,[],['other:unspecified_detergent'],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,True,False,['Phi29 DNA polymerase amplification'],[],['QIAamp DNA Mini Kit'],True,Total cellular DNA was extracted using the QIAamp DNA Mini Kit ... ethanol/salt washes; for Phi29 DNA polymerase amplification.,,,28626e51d3,ac38e2a49a,,,0101,0.5,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,True,True,False,"['Phi29 DNA polymerase amplification', 'PCR/qPCR']",[],[],True,ATP-dependent exonuclease treatment of whole infected cell DNA preps ... prior to Phi29 amplification; measured by qPCR.,,,28626e51d3,71d45237cf,,,1101,0.75,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['restriction endonuclease profiling'],"['Triton X-100', 'SDS']",[],True,Hypotonic lysis and micrococcal nuclease treatment used Triton X-100 and SDS; washed cells and centrifuged pellets.,,,28626e51d3,e09d465089,,,0001,0.25,True,[],"['Triton X-100', 'SDS']",[]
Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,"['Sequencing', 'Phi29 DNA polymerase amplification']",[],[],True,PEG precipitation of nuclease-treated DNA used centrifugation and ethanol washing; DNA was suitable for direct pyrosequencing and Phi29 amplification.,,,28626e51d3,98e65dd3c0,,,0001,0.25,True,[],[],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,True,True,False,[],['Triton X-100'],[],True,"“Two detergents were evaluated for cell lysis, Triton X-100 and Polysorbate 20.”",,,3b5dc8f6b4,07766dc1b5,,,1100,0.5,False,[],['Triton X-100'],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,True,True,False,[],['Polysorbate 20'],[],True,"“Two detergents were evaluated for cell lysis, Triton X-100 and Polysorbate 20.”",,,3b5dc8f6b4,4b6829306e,,,1100,0.5,False,[],['other:Polysorbate 20'],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,True,True,False,['PCR/qPCR'],['Triton X-100'],[],True,Comparison of downstream steps using two different detergents for cell lysis - Triton X-100 and Polysorbate 20; TP recovery was determined by qPCR.,,,3b5dc8f6b4,bce621fe8f,,,1101,0.75,True,[],['Triton X-100'],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,True,True,False,['PCR/qPCR'],['Polysorbate 20'],[],True,Scale-up runs were performed using Polysorbate 20 as the cell lysis agent; TP recovery was determined by qPCR.,,,3b5dc8f6b4,0c7b815944,,,1101,0.75,True,[],['other:Polysorbate 20'],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],[],[],True,labelled cells were washed; samples were boiled in SDS and filtered; filters were washed before scintillation counting.,,,cdbe4e7e26,5d53a662a5,,,0100,0.25,False,[],[],[]
Role of DLP12 lysis genes in Escherichia coli biofilm formation,False,True,False,[],['SDS'],[],True,Cells were described as washed and diluted; label levels were assessed from SDS-boiled cells.,,,cdbe4e7e26,c05580891b,,,0100,0.25,False,[],['SDS'],[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,['trypan blue cell viability assay'],[],[],True,cultures infected with Delta-24-RGD were washed with PBS and mixed with trypan blue; cells were counted,,,28b5447d61,29636cd924,,,0101,0.5,True,[],[],[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,['confocal microscopy'],[],[],True,Cells were stained with ethidium homodimer-1; microwells were rinsed and analyzed using confocal microscopy,,,28b5447d61,2d3a588e9a,,,0101,0.5,True,[],[],[]
