Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Protocol_described,Evidence,Source_page,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],True,"IGEPAL CA-630 added to MM to 0.3% final concentration; crude sample added directly to PCR well for in-well direct lysis, direct rRT-PCR without NA purification.",3,,,ba743b1bb9,6adc162ee0,,,1101,0.75,True,[],['IGEPAL CA-630'],[]
A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application,False,False,False,['PCR/qPCR'],['SDS'],[],True,"lysis buffer was added (10 mM Tris-HCl pH 7.6; 10 mM EDTA, 0.25% SDS)... chloroform... centrifuged... ethanol precipitation; used as template in PCR",4,,,69619de75b,0f3ec033ea,,,0001,0.25,True,[],['SDS'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,True,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],True,cells were washed twice with PBS and then exposed to CL Buffer (...0.25% Igepal CA-630...) for 5 min at room temperature (~22 C); lysates subjected to RT-qPCR,2,,,26f83ea56a,b325f264e9,,,0011,0.5,True,[],['IGEPAL CA-630'],[]
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,['RT-PCR/RT-qPCR'],['unspecified_detergent'],[],False,,,,,26f83ea56a,0d1712e167,,,0001,0.25,True,[],['other:unspecified_detergent'],[]
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,True,False,False,"['PCR/qPCR', 'Sequencing']","['Tween 20', 'Poloxamer 188', 'Triton X-100']",['TDA-9'],True,HEK293 cells were lysed using detergent compositions A and B... incubated at 37C... contents were centrifuged... samples collected for ddPCR analysis,2,,,a0f3d5023a,f85b0ba835,,,1001,0.5,True,[],"['Tween 20', 'Poloxamer 188', 'Triton X-100']",[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,False,False,False,[],[],[],False,,,,,d9ccc77361,2eda1bc41f,,,0000,0.0,False,[],[],[]
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures,False,False,False,[],['NP-40'],[],True,"detergent lysis of pelleted cells with Nonidet P-40 in phosphate-buffered saline (NP-40/PBS), sonication, sucrose cushion centrifugation, and cesium chloride density centrifugation",2-3,,,d7e7496167,0c83ebbf7c,,,0000,0.0,False,[],['NP-40'],[]
Factors influencing lysis time stochasticity in lambda bacteriophage,False,False,False,[],[],[],True,"Lysis induced by raising chamber temperature to 42C; lysis of E. coli lysogens observed by thermal induction in a perfusion chamber, not detergent lysis.",5-6,,,0288f54438,a2f94ccceb,,,0000,0.0,False,[],[],[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,['PCR/qPCR'],"['Triton X-100', 'Tween 20']",[],True,"Two detergents were evaluated for cell lysis, Triton X-100 and Polysorbate 20. ... DNA digestion ... Benzonase ... proceeded for 4 hours at 37C",2,,,3b5dc8f6b4,5a532999f6,,,0001,0.25,True,[],"['Triton X-100', 'Tween 20']",[]
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,[],"['Tween 20', 'Triton X-100']",[],True,Polysorbate 20 as cell lysis agent compared with Triton X-100; both used as cell lysis detergents in downstream processing,2-3,,,3b5dc8f6b4,68f6eb4f3a,,,0000,0.0,False,[],"['Tween 20', 'Triton X-100']",[]
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],True,"E-lysis induced by shifting temperature to 42 °C; cells resuspended in buffer (50 mM Tris, 5 mM DTT, 1 mM EDTA) and washed once; homogenized at 1500 bar",3-4,,,83e42d0cb9,b502df1382,,,0000,0.0,False,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],"['Triton X-100', 'SDS']",[],True,cell pellet resuspended in cold permeabilization buffer [...1% Triton X-100]; ...0.5% SDS... viral DNA released by incubation at 50°C; suitable for pyrosequencing,3,,,28626e51d3,d72c0b2abf,,,0001,0.25,True,[],"['Triton X-100', 'SDS']",[]
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,"['PCR/qPCR', 'Sequencing']",[],['QIAamp DNA Mini Kit'],True,treated with proteolytic enzymes at 56°C; ethanol added; DNA purified by affinity chromatography; ethanol/salt washes,2,,,28626e51d3,618f3f5cda,,,0001,0.25,True,[],[],[]
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],[],[],False,,,,,28626e51d3,4e4e44343c,,,0001,0.25,True,[],[],[]
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['LAMP'],['unspecified_detergent'],[],True,"thermal lysis and binding... washing and magnetic bead-based RNA purification... colorimetric RT-LAMP... lysis includes high concentrations of surfactants, organic solvents, and heat",1,,,5ad5a05d8d,dbddf5b35a,,,0101,0.5,True,[],['other:unspecified_detergent'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,[],['Triton X-100'],[],True,cells were harvested by centrifugation...resuspended in lysis buffer...0.1% Triton X-100...single freeze thaw...incubated at 37C,4-5,,,f16e7fac29,d600ba9661,,,0000,0.0,False,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,[],['Triton X-100'],[],True,Supernatant removed using plate washer/filler; lysis buffer added...placed at -60C for 30 min...lysates clarified by centrifugation,5,,,f16e7fac29,28e74b982b,,,0000,0.0,False,[],['Triton X-100'],[]
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,['Sequencing'],['Triton X-100'],[],False,The low concentration of mild detergents (0.1% Triton X-100) used are also compatible with high-throughput... capillary electrophoresis systems,2,,,f16e7fac29,7dc8059ae8,,,0001,0.25,True,[],['Triton X-100'],[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,['qPCR'],"['Triton X-100', 'Triton CG-110', 'Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)']",[],True,Fresh detergent stock solution was added... kept on hot plate stirrers to maintain 120 RPM agitation and 37C during the lysis process,2,,,7800fd665f,4e842025db,,,0101,0.5,True,[],"['Triton X-100', 'other:Triton CG-110', 'Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,[],"['Triton X-100', 'Triton CG-110', 'Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)']",[],True,Fresh detergent stock solutions were added... agitation and temperature at 37C... cell lysate was ready as the loading material for at-scale clarification,2,,,7800fd665f,5ca5795b83,,,0100,0.25,False,[],"['Triton X-100', 'other:Triton CG-110', 'Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)']",[]
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,False,False,['unspecified_downstream_assay'],"['Triton X-100', 'Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside', 'Triton CG-110']",[],True,"detergent is introduced during lysis, which is followed by clarification of the cell lysate, chromatographic capture and polishing steps",8-9,,,7800fd665f,c3206eec6d,,,0000,0.0,False,[],"['Triton X-100', 'Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside', 'other:Triton CG-110']",[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],['BPER-II'],True,"Cells were lysed via a French pressure cell at 12,000 psi and centrifuged...BMCs were washed with...60% BPER-II in buffer A",4,,,957f9235eb,2777bc49e5,,,0000,0.0,False,[],[],[]
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],['unspecified_detergent'],['Empigen BB (EBB)'],True,Cells were lysed via a French pressure cell...EBB detergent was added to the supernatant...The column was washed with...,5,,,957f9235eb,33ec9c0cf0,,,0000,0.0,False,[],['other:unspecified_detergent'],[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,['PCR/qPCR'],"['Triton X-100', 'sodium deoxycholate', 'CTAB', 'Deviron C16', 'Deviron 13S9']",['AAV-MAX Lysis Buffer'],True,cultures aliquoted and exposed to various detergents...at 37 C for 2 hrs; cell debris removed by centrifugation at 4500xg for 30 min,2-3,,,87a4bf06e5,a0b2b29c23,,,0001,0.25,True,[],"['Triton X-100', 'other:sodium deoxycholate', 'CTAB', 'other:Deviron C16', 'other:Deviron 13S9']",[]
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,['unspecified_downstream_assay'],"['sodium deoxycholate', 'CTAB', 'Triton X-100', 'Deviron 13-S9']",[],True,"lysates prepared with Triton X-100, Deviron 13-S9, and sodium deoxycholate; 0.25% w/v CTAB; salt-only conditions (NaCl, KCl)",7,,,87a4bf06e5,fd0215b58e,,,0000,0.0,False,[],"['other:sodium deoxycholate', 'CTAB', 'Triton X-100', 'other:Deviron 13-S9']",[]
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,['unspecified_downstream_assay'],['unspecified_detergent'],['RIPA buffer'],True,cultures were resuspended in PBS and subjected to lysis with RIPA buffer supplemented with protease inhibitor cocktail,3,,,28b5447d61,5319498f80,,,0100,0.25,False,[],['other:unspecified_detergent'],[]
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,['unspecified_downstream_assay'],['SDS'],[],True,Recovery of intracellular phages by SDS lysis... cells... received 500 ul of 1% (w/v) sodium dodecyl sulfate (SDS) and were vortexed.,2,,,d06ccb6917,fe7ae299d8,,,0000,0.0,False,[],['SDS'],[]
Identification and characterization of the two-component cell lysis cassette encoded by temperate bacteriophage uPYB5 of Lactobacillus fermentum,False,False,False,[],['SDS'],[],True,total proteins were extracted by suspending the cells in SDS-buffer...denatured by heating at 100C; cells harvested by centrifugation,2,,,500aa7f622,21b4698539,,,0000,0.0,False,[],['SDS'],[]
Lipidomic study of intracellular Singapore grouper iridovirus,False,False,False,[],[],[],True,Cells washed twice with ice-cold TNE buffer; harvested by centrifugation at 500xg; homogenized in ice-cold TNE buffer; subjected to lipid extraction.,1,,,59b125a31e,c2c21e066c,,,0000,0.0,False,[],[],[]
Lipidomic study of intracellular Singapore grouper iridovirus,False,False,False,[],[],[],True,"Detergent treatment (Triton X-100, DDM, OG) used to test virus sensitivity, not lysis for downstream amplification; washing and centrifugation used.",2,,,59b125a31e,d202c1a759,,,0000,0.0,False,[],[],[]
Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments,True,True,False,[],"['SDS', 'deoxycholate']",[],True,"virus stock solutions were mixed with lysis buffers (1:4), briefly vortexed, and incubated at RT or at 95 C for 5 min",2,,,90f955347a,6392e3587a,,,1100,0.5,False,[],"['SDS', 'deoxycholate']",[]
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,False,False,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'SDS', 'Triton X-100']",[],True,"rBV inactivation by sodium lauryl sulfate (Sarkosyl, SLS) and Triton X-100 during cell lysis",2-3,,,72f3f8add7,8a3dae4af7,,,0000,0.0,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'SDS', 'Triton X-100']",[]
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,False,False,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],False,,,,,72f3f8add7,6fbeddcd2e,,,0000,0.0,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[]
Expression and purification of a functional human hepatitis B virus polymerase,False,False,False,[],['SDS'],[],True,disrupted with lysis-buffer (... 1% SDS ... 0.1 mg/mL lysozyme ...); Induced cells were harvested by centrifugation; resin was washed with washing buffer,3-4,,,b486c61d68,e45c6e1ddb,,,0000,0.0,False,[],['SDS'],[]
"Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives",False,False,True,[],"['Triton X-100', 'Tween 20', 'NP-40', 'SDS']","['AVL', 'RLT', 'AL (Buffer AL)', 'MagNA Pure external lysis buffer', 'Cobas Omni LYS', 'viral PCR sample solution (VPSS)', 'E&O Laboratories lysis buffer', 'NeuMoDx lysis buffer', 'Samba II SCoV lysis buffer', 'NucliSENS lysis buffer', 'Panther Fusion specimen lysis tubes', 'DNA/RNA Shield', 'eNAT', 'Primestore MTM', 'Cobas PCR medium', 'Aptima specimen transport medium', 'Sigma molecular transport medium']",True,"guanidine thiocyanate and Triton X-100 in-house extraction buffer; detergents tested: Tween 20, Triton X-100, NP-40, SDS; all inactivation steps at ambient room temperature (18 to 25C)",3,,,53f24d2991,35c7f8d742,,,0010,0.25,False,[],"['Triton X-100', 'Tween 20', 'NP-40', 'SDS']",[]
"Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives",False,False,False,['RT-PCR/RT-qPCR'],"['Triton X-100', 'SDS', 'NP-40', 'Tween 20']","['AVL', 'RLT', 'MagNA Pure External LB', 'AL', 'Cobas Omni LYS', 'NucliSENS LB', 'Panther Fusion specimen lysis tubes', 'DNA/RNA Shield']",True,"Detergents can be used to inactivate lipid enveloped viruses; Triton X-100, SDS, NP-40, Tween 20 evaluated; RNA tested by SARS-CoV-2-specific qRT-PCR",3-4,,,53f24d2991,5c2ff7e598,,,0001,0.25,True,[],"['Triton X-100', 'SDS', 'NP-40', 'Tween 20']",[]
