label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Triton X-100,29,9.5,0.3167,0000 (8); 0001 (5); 1101 (4),Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease
Tween 20,17,6.75,0.225,1101 (5); 0000 (4); 0001 (2),"High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives"
SDS,18,4.0,0.1333,0000 (6); 0001 (4); 1000 (4),"A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application; Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Ingestion without Inactivation of Bacteriophages by Tetrahymena; Expression and purification of a functional human hepatitis B virus polymerase; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives"
IGEPAL CA-630,4,2.75,0.0917,1101 (3); 0011 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens; Direct RT-PCR amplification of SARS-CoV-2 from clinical samples using a concentrated viral lysis-amplification buffer prepared with IGEPAL-630
NP-40,9,2.0,0.0667,0000 (4); 0001 (1); 1000 (1),"Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures; Expression and purification of a functional human hepatitis B virus polymerase; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Identification of Protein Interacting Partners Using Tandem Affinity Purification"
other:unspecified_detergent,4,1.25,0.0417,0001 (3); 0101 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms
CTAB,6,1.0,0.0333,0001 (3); 0000 (2); 1000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids (conventional comparison: CTAB/SDS lysis); Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids (traditional CTAB/SDS comparison lysis)
CHAPS,3,1.0,0.0333,0000 (1); 1010 (1); 1100 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
Tween 80,2,1.0,0.0333,0100 (1); 1101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:Triton CG-110,2,1.0,0.0333,0100 (1); 1101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:hexadecyltrimethylammonium chloride (Hexa-DTMC),2,1.0,0.0333,0001 (1); 1101 (1),Efficacy Validation of SARS-CoV-2-Inactivation and Viral Genome Stability in Saliva by a Guanidine Hydrochloride and Surfactant-Based Virus Lysis/Transport Buffer
N-lauroylsarcosine (Sarkosyl),4,0.75,0.025,0000 (2); 1000 (1); 1010 (1),"Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay; Isolation and Characterization of φkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli"
other:n-Dodecyl-β-D-maltoside (DDM),1,0.75,0.025,1101 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
deoxycholate,4,0.5,0.0167,0000 (3); 1100 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Purification and Functional Characterization of the φX174 Lysis Protein E
other:N-lauroylsarcosine,2,0.5,0.0167,0000 (1); 1100 (1),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:Empigen,2,0.25,0.0083,0000 (1); 0100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:Empigen BB,2,0.25,0.0083,0000 (1); 1000 (1),Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Purification and Functional Characterization of the φX174 Lysis Protein E
Poloxamer 188,1,0.25,0.0083,0001 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:Polysorbate 20,1,0.25,0.0083,0001 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:Zwittergent,1,0.25,0.0083,0001 (1),Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms
other:n-Dodecyl-β-D-maltoside,1,0.25,0.0083,0100 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-dodecyl-β-D-maltoside,1,0.25,0.0083,1000 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
other:sodium deoxycholate,1,0.25,0.0083,0001 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron 13-S9,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:Deviron C16,1,0.0,0.0,0000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:n-octyl-β-D-glucopyranoside,1,0.0,0.0,0000 (1),Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
saponin,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the φX174 Lysis Protein E
