Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Protocol_described,Evidence,Source_page,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,True,True,False,[],"['Polysorbate 20', 'Poloxamer 188']",[],True,“HEK293 cells were lysed using detergent compositions A and B… The experiment was conducted at 25 ± 1°C… for simultaneous cell lysis and VI.”,2,,,a0f3d5023a,6cd769a1f7,,,1100,0.5,False,[],"['other:Polysorbate 20', 'Poloxamer 188']",[]
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,True,False,False,[],"['Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",[],True,“the required lysis solution… were added… After 24 h… the contents were centrifuged… collected for ddPCR analysis… A 1% Triton X-100 solution was included as a positive control.”,"2,4",,,a0f3d5023a,7fe2422596,,,1000,0.25,False,[],"['other:Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",[]
A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application,True,False,False,['PCR/qPCR'],['SDS'],[],True,"“viral DNA was isolated in three steps: SDS lysis, chloroform extraction and ethanol precipitation… analysed by PCR.”",286,,,69619de75b,0590ba8910,,,1001,0.5,True,[],['SDS'],[]
A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application,True,False,False,['PCR/qPCR'],['SDS'],[],True,“lysis buffer… 0.25% SDS… then centrifuged… DNA… precipitated with… ethanol… pellet… dried… 60 °C… used as template… PCR.”,288,,,69619de75b,8e48b96a7c,,,1001,0.5,True,[],['SDS'],[]
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures,True,False,False,[],['NP-40'],[],True,"Downstream process ... consisted of detergent lysis ... with Nonidet P-40 ... sonication, sucrose cushion centrifugation, and CsCl equilibrium density centrifugation.",1-2,,,d7e7496167,5fdc7d47f6,,,1000,0.25,False,[],['NP-40'],[]
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures,False,False,False,[],[],[],False,,,,,d7e7496167,d0f871ee05,,,0000,0.0,False,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,[],[],[],True,Fresh sewage samples ... were centrifuged ... filter-sterilized ... Cell debris was removed by centrifugation ... followed by ... CsCl gradient centrifugation ... dialyzed,2,,,d9ccc77361,7dd19166b6,,,1000,0.25,False,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,[],[],['QIA Lambda Minikit'],True,"Phage genomic DNA was isolated from purified particles, using ... columns (QIA Lambda Minikit, Qiagen)",2,,,d9ccc77361,58b8c4f9cb,,,1000,0.25,False,[],[],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,True,False,False,[],['SDS'],[],True,mixed ... with SDS-PAGE sample buffer ... boiled ... analyzed on SDS-PAGE,3,,,d9ccc77361,1fa63cd94c,,,1000,0.25,False,[],['SDS'],[]
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,False,False,False,[],[],[],False,,,,,d9ccc77361,2eda1bc41f,,,0000,0.0,False,[],[],[]
