label,raw_count,weighted_count,weighted_frequency,top_buckets,representative_papers
Triton X-100,47,14.0,0.1892,0000 (13); 1000 (9); 1100 (8),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis; Improved two stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease
SDS,35,9.5,0.1284,0000 (12); 0100 (5); 0001 (4),A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application; Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula; Purification of DNA from the cell-associated herpesvirus Marek’s disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation; Role of DLP12 lysis genes in Escherichia coli biofilm formation; A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E
Tween 20,19,9.5,0.1284,1101 (8); 0100 (3); 0101 (3),"High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives (JCM.01713-20); Development of nucleic acid extraction-free one-step real-time RT-PCR for diagnosis of SARS-CoV-2 infection; Purification and Functional Characterization of the X174 Lysis Protein E"
IGEPAL CA-630,11,6.75,0.0912,1101 (8); 0000 (1); 0100 (1),Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR; An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens; Direct RT‑PCR amplification of SARS‑CoV‑2 from clinical samples using a concentrated viral lysis‑amplification buffer prepared with IGEPAL‑630
NP-40,11,2.25,0.0304,0000 (5); 0001 (2); 1000 (2),"Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures; Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives (JCM.01713-20); Expression and purification of a functional human hepatitis B virus polymerase; Identification of Protein Interacting Partners Using Tandem Affinity Purification; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling"
other:unspecified_detergent,8,2.0,0.027,0000 (3); 1000 (2); 0101 (1),"High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection; Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli; Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells; Rapid, Sample-to-Answer Host Gene Expression Test to Diagnose Viral Infection"
CTAB,6,1.5,0.0203,1000 (3); 0000 (2); 1101 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Simple and efficient isolation of plant genomic DNA using magnetic ionic liquids
deoxycholate,4,1.25,0.0169,0000 (1); 0001 (1); 1000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies; Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments; Influenza A Infection of Primary Human Airway Epithelial Cells Up-Regulates Proteins Related to Purine Metabolism and Ubiquitin-Related Signaling; Oxidative stress transforms 3CLpro into an insoluble and more active form to promote SARS-CoV-2 replication
other:Polysorbate 20,5,1.0,0.0135,0000 (2); 0001 (1); 1000 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents; Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis
Tween 80,3,1.0,0.0135,0100 (2); 1100 (1),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy; Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:DDM,3,1.0,0.0135,0000 (1); 1000 (1); 1110 (1),Purification and Functional Characterization of the X174 Lysis Protein E; The holin of bacteriophage lambda forms rings with large diameter
other:n-octyl-β-D-glucopyranoside,4,0.75,0.0101,0000 (2); 1000 (1); 1100 (1),Lipidomic study of intracellular Singapore grouper iridovirus; Lipidomic study of intracellular; Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly
CHAPS,3,0.75,0.0101,0000 (1); 1000 (1); 1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:Triton CG-110,3,0.75,0.0101,0100 (3),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
other:n-Dodecyl-β-D-maltoside (DDM),3,0.75,0.0101,0100 (3),Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy
Poloxamer 188,2,0.75,0.0101,1000 (1); 1100 (1),Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents
other:Empigen,2,0.75,0.0101,0100 (1); 1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:N-lauroylsarcosine,2,0.5,0.0068,1000 (2),Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli
other:Zwittergent,2,0.5,0.0068,0001 (2),Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms
saponin,2,0.5,0.0068,0000 (1); 1100 (1),Purification and Functional Characterization of the X174 Lysis Protein E; Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:Lubrol,1,0.5,0.0068,1100 (1),Maturation of the Gag core decreases the stability of retroviral lipid membranes
other:Empigen BB,1,0.25,0.0034,1000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
other:LDAO,1,0.25,0.0034,1000 (1),The holin of bacteriophage lambda forms rings with large diameter
other:n-dodecyl-β-D-maltoside,1,0.25,0.0034,1000 (1),Purification and Functional Characterization of the ϕX174 Lysis Protein E
other:sodium deoxycholate,1,0.25,0.0034,1000 (1),Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies
other:n-dodecyl-α-D-maltoside,3,0.0,0.0,0000 (3),Lipidomic study of intracellular Singapore grouper iridovirus; Lipidomic study of intracellular
N-lauroylsarcosine (Sarkosyl),2,0.0,0.0,0000 (2),"Isolation and Characterization of ϕkm18p, a Novel Lytic Phage with Therapeutic Potential against Extensively Drug Resistant Acinetobacter baumannii; Evaluation of factors influencing expression and extraction of recombinant bacteriophage endolysins in Escherichia coli"
other:cholic acid,1,0.0,0.0,0000 (1),Purification and Functional Characterization of the X174 Lysis Protein E
