Paper_title,Wash_free,Centrifugation_free,Heat_free,Downstream_compatibility,Detergents_used_for_lysis,Detergent_products_unresolved_for_lysis,Year,DOI,Paper_ID,Protocol_ID,Temp_max,Wash_steps,Bucket,Bucket_weight,Downstream_compatibility_flag,Methods,Detergents_used,Capture_or_enrichment_or_purification_methods,Evidence,Protocol_described
A simplified method for the extraction of baculoviral DNA for PCR analysis: A practical application,True,False,False,['PCR/qPCR'],['SDS'],[],,,69619de75b,76b90cee60,,,1001,0.5,True,[],['SDS'],[],,
Enterobacter sakazakii bacteriophages can prevent bacterial growth in reconstituted infant formula,False,False,False,[],[],[],,,d9ccc77361,1f0ab73d13,,,0000,0.0,False,[],[],[],,
Evaluation of viral clearance in the production of HPV-16 L1 virus-like particles purified from insect cell cultures,True,False,False,[],['NP-40'],[],,,d7e7496167,b0dab5c37c,,,1000,0.25,False,[],['NP-40'],[],,
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,"['Sequencing', 'PCR/qPCR']","['Triton X-100', 'SDS']",[],,,28626e51d3,2e15ec80b9,,,0001,0.25,True,[],"['Triton X-100', 'SDS']",[],,
Purification of DNA from the cell-associated herpesvirus Marek's disease virus for 454 pyrosequencing using micrococcal nuclease digestion and polyethylene glycol precipitation,False,False,False,['Sequencing'],[],[],,,28626e51d3,7b6d314054,,,0001,0.25,True,[],[],[],,
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,True,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],"['Bio-Rad iScript Sample Preparation Reagent', 'Ambion Cells-to-CT']",,,26f83ea56a,95c732d775,,,0011,0.5,True,[],['IGEPAL CA-630'],[],,
Endogenous RNase inhibitor contributes to stability of RNA in crude cell lysates: Applicability to RT-qPCR,False,False,False,['RT-PCR/RT-qPCR'],['unspecified_detergent'],[],,,26f83ea56a,af91403f9b,,,0001,0.25,True,[],['other:unspecified_detergent'],[],,
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,"['RT-qPCR', 'LAMP', 'RT-PCR/RT-qPCR']",['Tween 20'],[],,,5ad5a05d8d,bf38c8c7e2,,,0101,0.5,True,[],['Tween 20'],[],,
High-transition-temperature paraffin integration in IFAST device for efficient and robust nucleic acid extraction and detection,False,True,False,['LAMP'],['unspecified_detergent'],[],,,5ad5a05d8d,2023082f53,,,0101,0.5,True,[],['other:unspecified_detergent'],[],,
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,['PCR/qPCR'],"['Triton X-100', 'sodium deoxycholate', 'CTAB', 'Tween 20']","['AAV-MAX Lysis Buffer', 'Deviron C16', 'Deviron 13S9']",,,87a4bf06e5,81bf448bb7,,,0001,0.25,True,[],"['Triton X-100', 'other:sodium deoxycholate', 'CTAB', 'Tween 20']",[],,
Integrating the affinity and anion-exchange purification of AAV8: how the selective enrichment of full capsids at the affinity capture step enhances the downstream processing of gene therapies,False,False,False,['unspecified_downstream_assay'],"['Triton X-100', 'deoxycholate', 'CTAB', 'Deviron 13-S9', 'Deviron C16']",[],,,87a4bf06e5,5eb84fc3ec,,,0000,0.0,False,[],"['Triton X-100', 'deoxycholate', 'CTAB', 'other:Deviron 13-S9', 'other:Deviron C16']",[],,
An in-well direct lysis method for rapid detection of SARS-CoV-2 by real time RT-PCR in eSwab specimens,True,True,False,['RT-PCR/RT-qPCR'],['IGEPAL CA-630'],[],,,ba743b1bb9,82678b1a6c,,,1101,0.75,True,[],['IGEPAL CA-630'],[],,
Streamlining viral safety in AAV manufacturing: Simultaneous cell lysis and viral inactivation using biodegradable detergents,False,False,False,"['PCR/qPCR', 'Sequencing']","['Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",['TDA-9'],,,a0f3d5023a,6d20019cdb,,,0001,0.25,True,[],"['other:Polysorbate 20', 'Poloxamer 188', 'Triton X-100']",[],,
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],,,83e42d0cb9,76b5b3e022,,,0000,0.0,False,[],[],[],,
A novel method to recover inclusion body protein from recombinant E. coli fed-batch processes based on phage ΦX174-derived lysis protein E,False,False,False,[],[],[],,,83e42d0cb9,76b5b3e022,,,0000,0.0,False,[],[],[],,
Factors influencing lysis time stochasticity in lambda bacteriophage,False,True,False,[],[],[],,,0288f54438,4aab930881,,,0100,0.25,False,[],[],[],,
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,True,True,False,['PCR/qPCR'],"['Triton X-100', 'Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside (DDM)', 'Triton CG-110']",[],,,7800fd665f,84388264c0,,,1101,0.75,True,[],"['Triton X-100', 'Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside (DDM)', 'other:Triton CG-110']",[],,
Triton CG-110 as an alternative for cell lysis in manufacturing of adeno-associated virus-based gene therapy,False,True,False,['unspecified_downstream_assay'],"['Triton X-100', 'Tween 20', 'Tween 80', 'n-Dodecyl-β-D-maltoside', 'Triton CG-110']",[],,,7800fd665f,13a06b62e0,,,0100,0.25,False,[],"['Triton X-100', 'Tween 20', 'Tween 80', 'other:n-Dodecyl-β-D-maltoside', 'other:Triton CG-110']",[],,
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],[],['BPER-II'],,,957f9235eb,e4af2439f6,,,0000,0.0,False,[],[],[],,
Re-directing bacterial microcompartment systems to enhance recombinant expression of lysis protein E from bacteriophage φX174 in Escherichia coli,False,False,False,[],['Empigen BB'],[],,,957f9235eb,143eb7cc32,,,0000,0.0,False,[],['other:Empigen BB'],[],,
Improved two-stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,[],['Triton X-100'],[],,,f16e7fac29,02474e9212,,,0000,0.0,False,[],['Triton X-100'],[],,
Improved two‐stage protein expression and purification via autoinduction of both autolysis and auto DNA/RNA hydrolysis conferred by phage lysozyme and DNA/RNA endonuclease,False,False,False,"['sodium dodecyl sulfate-polyacrylamide gel electrophoresis', 'capillary electrophoresis']",['Triton X-100'],[],,,f16e7fac29,d41184b466,,,0001,0.25,True,[],['Triton X-100'],[],,
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,['PCR/qPCR'],"['Triton X-100', 'Tween 20']",[],,,3b5dc8f6b4,e248accfc6,,,0001,0.25,True,[],"['Triton X-100', 'Tween 20']",[],,
Clinical-grade Oncolytic Adenovirus Purification using Polysorbate 20 as an Alternative for Cell Lysis,False,False,False,[],"['Tween 20', 'Triton X-100']",[],,,3b5dc8f6b4,eadaf2d491,,,0000,0.0,False,[],"['Tween 20', 'Triton X-100']",[],,
Ingestion without Inactivation of Bacteriophages by Tetrahymena,False,False,False,['unspecified_downstream_assay'],['SDS'],[],,,d06ccb6917,311e743202,,,0000,0.0,False,[],['SDS'],[],,
Delta-24-RGD Induces Cytotoxicity of Glioblastoma Spheroids in Three Dimensional PEG Microwells,False,True,False,['unspecified_downstream_assay'],[],['RIPA buffer'],,,28b5447d61,405400b9d1,,,0100,0.25,False,[],[],[],,
Lipidomic study of intracellular Singapore grouper iridovirus,False,False,False,[],[],[],,,59b125a31e,5ab1f55149,,,0000,0.0,False,[],[],[],,
Expression and purification of a functional human hepatitis B virus polymerase,False,False,False,[],"['SDS', 'NP-40']",[],,,b486c61d68,1e9df34446,,,0000,0.0,False,[],"['SDS', 'NP-40']",[],,
"Analysis of Inactivation of SARS-CoV-2 by Specimen Transport Media, Nucleic Acid Extraction Reagents, Detergents, and Fixatives",True,False,False,['RT-PCR/RT-qPCR'],"['Triton X-100', 'SDS', 'NP-40', 'Tween 20']","['AVL', 'Buffer RLT', 'MagNA Pure External LB', 'AL', 'Cobas Omni LYS', 'PHE in-house LB', 'E&O Lab VPSS', 'E&O Lab LB', 'NeuMoDx LB', 'Samba II SCoV LB', 'NucliSENS LB', 'Panther Fusion specimen lysis tubes', 'DNA/RNA Shield']",,,53f24d2991,4594dca72f,,,1001,0.5,True,[],"['Triton X-100', 'SDS', 'NP-40', 'Tween 20']",[],,
"Mammalian reovirus, a nonfusogenic nonenveloped virus, forms size-selective pores in a model membrane",False,False,False,[],[],[],,,48802a47ed,5a9c809246,,,0000,0.0,False,[],[],[],,
Inactivation of Coronaviruses during Sample Preparation for Proteomics Experiments,True,True,False,[],"['SDS', 'deoxycholate']",[],,,90f955347a,a9219df4b8,,,1100,0.5,False,[],"['SDS', 'deoxycholate']",[],,
Strand Transfer and Elongation of HIV-1 Reverse Transcription Is Facilitated by Cell Factors In Vitro,True,False,False,"['PCR/qPCR', 'RT-PCR/RT-qPCR']",['Triton X-100'],[],,,3b9c358f36,5944ff921e,,,1001,0.5,True,[],['Triton X-100'],[],,
Strand Transfer and Elongation of HIV-1 Reverse Transcription Is Facilitated by Cell Factors In Vitro,False,False,False,[],[],[],,,3b9c358f36,83a9a64c81,,,0000,0.0,False,[],[],[],,
Strand Transfer and Elongation of HIV-1 Reverse Transcription Is Facilitated by Cell Factors In Vitro,True,True,False,[],['Triton X-100'],[],,,3b9c358f36,74c21cecc1,,,1100,0.5,False,[],['Triton X-100'],[],,
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,True,False,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,,72f3f8add7,5537298905,,,1000,0.25,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,
Evaluation of recombinant baculovirus clearance during rAAV production in Sf9 cells using a newly developed fluorescent-TCID50 assay,False,False,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,,72f3f8add7,0f52da3526,,,0000,0.0,False,[],"['N-lauroylsarcosine (Sarkosyl)', 'Triton X-100']",[],,
Identification and characterization of the two-component cell lysis cassette encoded by temperate bacteriophage φPYB5 of Lactobacillus fermentum,False,False,False,[],['SDS'],[],,,500aa7f622,4498380c3a,,,0000,0.0,False,[],['SDS'],[],,
Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms,False,False,False,['RT-PCR/RT-qPCR'],['SDS'],"['QIAamp 96 Virus QIAcube HT Kit ACL buffer', 'QIAamp 96 Virus QIAcube HT Kit ATL buffer']",,,3f76a560df,3fdf136fc5,,,0001,0.25,True,[],['SDS'],[],,
Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms,False,False,False,['RT-PCR/RT-qPCR'],['unspecified_detergent'],['MagMAX Pathogen RNA/DNA kit Lysis binding buffer'],,,3f76a560df,56153dcea5,,,0001,0.25,True,[],['other:unspecified_detergent'],[],,
Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms,False,False,False,['RT-PCR/RT-qPCR'],['unspecified_detergent'],['MagMAX viral/pathogen nucleic acid isolation kit Lysis binding buffer'],,,3f76a560df,531cd5b268,,,0001,0.25,True,[],['other:unspecified_detergent'],[],,
Evaluation of the SARS-CoV-2 Inactivation Efficacy Associated With Buffers From Three Kits Used on High-Throughput RNA Extraction Platforms,False,False,False,['RT-PCR/RT-qPCR'],['Zwittergent'],['MagMAX Lysis Buffer'],,,3f76a560df,96ee998ec0,,,0001,0.25,True,[],['other:Zwittergent'],[],,
Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly,True,False,True,[],['Triton X-100'],[],,,88bce882dc,04f7a68e48,,,1010,0.5,False,[],['Triton X-100'],[],,
Endoplasmic Reticulum Detergent-Resistant Membranes Accommodate Hepatitis C Virus Proteins for Viral Assembly,True,False,True,[],['Triton X-100'],[],,,88bce882dc,04f7a68e48,,,1010,0.5,False,[],['Triton X-100'],[],,
